NativeFieldName;CalculatedField
[Markup %];[Calculation_1700522110136211]
[Markup %];[Calculation_2220522134708424]
[Product Category];[Calculation_1670524163029162]
[Profit];[Aggregated Profitable? (copy)]
[Profit];[Calculation_6900522180956613]
[Profit];[Profit (bin) 2]
[Sales];[Calculation_1670524163029162]
[Sales];[Calculation_5870522145230655]
